filters,"processName.keyword: Descending",Count
"TRA開始回数","P00204_Store_Transaction_Journal_Posting_ProdEnv_P00204_UR_W10ENO16EN","2,002"
"TRA開始回数","P00140_StockListMaker_W10JPO16JP_ProdEnv_P00140_UR_W10JPO16JP","1,748"
"TRA開始回数","P00269_01_GeneralQueryToolDownload_W10JPO16JP_ProdEnv_P00269_AR_W10JPO16JP","1,444"
"TRA開始回数","P00203_bankSlip_Download_ProdEnv_P00203_UR_W10ENO16EN",740
"TRA開始回数","P00220_Bank_Statement_Download_ProdEnv_P00220_UR_W10ENO16EN",718
"TRA開始回数","P00116_03_InternalOrder_W10JPO16JP_ProdEnv_P00116_AR_W10JPO16JP",657
"TRA開始回数","P00250_03_PrintSalesSum_W10JPO16JP_ProdEnv_P00250_UR_W10JPO16JP",552
"TRA開始回数","P00297_Store_Health_Certificate_Expire_Notification",489
"TRA開始回数","P00239_01_Abnormal_Absence_Notification_Weekly__ProdEnv_P00239_UR_W10ENO16EN",328
"TRA開始回数","P00230_01_MV_Analysis_DailyReport_A_ProdEnv_P00230_UR",232
"TRA開始回数","P00230_02_MV_Analysis_DailyReport_B_ProdEnv_P00230_UR",225
"TRA開始回数","P00274_SV_Store_Visit_Report_Monitor_ProdEnv_P00274_UR_W10ENO16EN",225
"TRA開始回数","P00019_03_CreateActualSaleWeeklyReport_SKU_W10JPO16JP_ProdEnv_P00019_AR_W10JPO16JP",205
"TRA開始回数","P00145_01_CostManagimentSheetRegister_W10JPO16JP_ProdEnv_P00145_UR_W10JPO16JP",141
"TRA開始回数","P00232_02_ColorSize_Report_Automation_2_ProdEnv_P00232_UR_W10ENO16EN",140
"TRA開始回数","P00075_CreateOrderProgressFile_W10JPO16JP_ProdEnv_P00075_AR_W10JPO16JP",124
"TRA開始回数","P00091_NoticeNextOrderQty_W10JPO16JP_ProdEnv_P00091_AR_W10JPO16JP",118
"TRA開始回数","P00180_CreateSKUReport_W10JPO16JP_ProdEnv_P00180_UR_W10JPO16JP",106
"TRA開始回数","P00165_01_CreateEndStockList_W10JPO16JP_ProdEnv_P00165_UR_W10JPO16JP",85
"TRA開始回数","P00282AR_W10JPO16JP_ProdEnv_P00282_AR_W10JPO16JP",84
"TRA開始回数","P00232_03_ColorSize_Report_Automation_A",79
"TRA開始回数","P00294_EC_Out_of_SKU_Rate_Report_ProdEnv_P00294_UR_W10ENO16EN",74
"TRA開始回数","P00108_CareLabel_W10JPO16JP_ProdEnv_P00108_UR_W10JPO16JP",73
"TRA開始回数","P00230_01_MV_Analysis_DailyReport_A",51
"TRA開始回数","P00006_SampleCodeGeneration_Win10JPO16JP_ProdEnv_P00006_UR_W10JPO16JP",49
"TRA開始回数","P00202_CentrcMaterialRegistration_W10JPO16JP_ProdEnv_P00202_UR_W10JPO16JP",49
"TRA開始回数","P00112_03_MakeAuditRecord_W10JPO16JP_ProdEnv_P00112_UAT",45
"TRA開始回数","P00230_02_MV_Analysis_DailyReport_B",45
"TRA開始回数","P00253_03_EC_Omni-channel_Sales_Report_ProdEnv_P00253_UR_W10ENO16EN",44
"TRA開始回数","P00200_01_EC_Report_W10JPO16JP_ProdEnv_P00200_01_UR_W10JPO16JP",42
"TRA開始回数","P00281_01_GU_WH_Management_ProdEnv_P00281_UR_W10ENO16EN",40
"TRA開始回数","P00157_CreateSKUShortageRateForm_W10JPO16JP_ProdEnv_P00157_UR_W10JPO16JP",39
"TRA開始回数","P00013_GSD_System_Privileges_Customer_Digital_W10JPO16JP_ProdEnv_P00013_AR_W10JPO16JP",38
"TRA開始回数","P00223_Abnormal_attendance_data_analysis___Notification_Weekly__ProdEnv_P00223_UR_W10ENO16EN",36
"TRA開始回数","P00252_DailyReport_ProdEnv_P00252_UR",32
"TRA開始回数","P00133_OverseasReserveRatioMonitor_W10JPO16JP_ProdEnv_P00133_UR_W10JPO16JP",31
"TRA開始回数","P00278_TableauOfficialPlanDL_W10JPO16JP_ProdEnv_P00278_UR_W10JPO16JP",31
"TRA開始回数","P00232_03_ColorSize_Report_Automation_A_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00232_04_ColorSize_Report_Automation_B_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00232_05_ColorSize_Report_Automation_C_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00232_06_ColorSize_Report_Automation_D_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00232_07_ColorSize_Report_Automation_E_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00232_08_ColorSize_Report_Automation_F_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00232_11_ColorSize_Report_Automation_I_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00232_12_ColorSize_Report_Automation_J_ProdEnv_P00232_UR_W10ENO16EN",30
"TRA開始回数","P00017_04_LogisticsKPI_CaluculateKPI_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",28
"TRA開始回数","P00209_01_OrderExecution_W10JPO16JP_ProdEnv_P00209_UR_W10JPO16JP",28
"TRA開始回数","P00112_04_UpdateAuditRecord_W10JPO16JP_ProdEnv_P00112_UAT",27
"TRA開始回数","P00023_01_ComplianceManagement_W10JPO16JP_ProdEnv_P00023_UR_W10JPO16JP",24
"TRA開始回数","P00283_TW_DL_Sheet_W10JPO16JP_ProdEnv_P00283_UR_W10JPO16JP",24
"TRA開始回数","P00168_01_SelectQueryTool_W10JPO16JP_ProdEnv_P00168_UR_W10JPO16JP",23
"TRA開始回数","P00038_01_UpdateRequest_DigitalSinage_ProdEnv_P00038_AR_W10JPO16JP",21
"TRA開始回数","P00144_01_OrderExecution_W10JPO16JP_ProdEnv_P00144_UR_W10JPO16JP",21
"TRA開始回数","P00200_02_EC_Report_W10JPO16JP_ProdEnv_P00200_02_UR_W10JPO16JP",21
"TRA開始回数","P00207_Maternity_leave_notification_and_setup_ProdEnv_P00207_UR_W10ENO16EN",21
"TRA開始回数","P00166_FCStore_W10JPO16JP_ProdEnv_P00166_AR_W10JPO16JP",20
"TRA開始回数","P00037_Service_Desk_Operation_Email_Email_Group_Add_or_remove_members_ProdEnv_P00037_AR_W10JPO16JP",19
"TRA開始回数","P00112_02_MakeRiskDeterminationByStore_W10JPO16JP_ProdEnv_P00112_UAT",16
"TRA開始回数","P00232_10_ColorSize_Report_Automation_H_ProdEnv_P00232_UR_W10ENO16EN",16
"TRA開始回数","P00253_01_EC_Omni-channel_Sales_Report_ProdEnv_P00253_UR_W10ENO16EN",16
"TRA開始回数","P00302_02_AnomalyDetectionSummarizeExcel_W10JPO16JP_ProdEnv_P00302_UR_W10JPO16JP",16
"TRA開始回数","P00002_01_QueryTool_Download_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",15
"TRA開始回数","P00017_02_LogisticsKPI_IMS_W10JPO16JP_ProdEnv_P00017_AR_W10JPO16JP",15
"TRA開始回数","P00232_09_ColorSize_Report_Automation_G_ProdEnv_P00232_UR_W10ENO16EN",15
"TRA開始回数","P00268_GUInventorySendMail_W10JPO16JP_ProdEnv_P00268_UR_W10JPO16JP",15
"TRA開始回数","P00276_01_GU_Data_Extraction_SKU_ProdEnv_P00276_01_UR_W10JPO16JP",15
"TRA開始回数","P00136_02_StoreProductStockout_Store_W10JPO16JP_ProdEnv_P00136_AR_W10JPO16JP",14
"TRA開始回数","P00159_PLSTCentricMatchingOfficialData_W10JPO16JP_ProdEnv_P00159_UR_W10JPO16JP",14
"TRA開始回数","P00222_Maternity_leave_setup__Manual__ProdEnv_P00222_UR",14
"TRA開始回数","P00245_04_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",14
"TRA開始回数","P00250_02_DownloadWeeklyPrintableFormByPlanningSum_W10JPO16JP_ProdEnv_P00250_UR_W10JPO16JP",14
"TRA開始回数","P00200_03_EC_Report_W10JPO16JP_ProdEnv_P00200_03_UR_W10JPO16JP",13
"TRA開始回数","P00245_07_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",13
"TRA開始回数","P00112_01_MakeBaseData_W10JPO16JP_ProdEnv_P00112_UAT",12
"TRA開始回数","P00242_02_Daily_Sales_Reconciliation_ProdEnv_P00242_02_UR_W10ENO16EN",12
"TRA開始回数","P00017_02_LogisticsKPI_IMS_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",10
"TRA開始回数","P00099_02_AlteredClothesOutsourcing_W10JPO16JP_ProdEnv_P00099_AR_W10JPO16JP",10
"TRA開始回数","P00148_06_CreateItemHandbook_W10JPO16JP_ProdEnv_P00148_UR_W10JPO16JP",10
"TRA開始回数","P00162_01_ContractRenewalOfFixedTermEmployees_W10JPO16JP_ProdEnv_P00162_AR_W10JPO16JP",10
"TRA開始回数","P00242_01_Daily_Sales_Reconciliation_ProdEnv_P00242_UR_W10ENO16EN",10
"TRA開始回数","P00245_06_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",10
"TRA開始回数","P00245_09_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",10
"TRA開始回数","P00002_02_JmupsQuery_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",9
"TRA開始回数","P00002_04_QRC_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",9
