ProcessID,Count
P00228_01,25025
P00140,22853
P00269_01,16773
P00204,10389
P00220,8514
P00250_03,6765
P00116_03,6535
P00274,6298
P00280,6020
P00297,5106
P00239_01,3886
P00203,3793
P00145_01,3564
P00222,3070
P00230_01,2513
P00230_02,2460
P00202,2163
P00232_02,1590
P00091,1807
P00075,1428
P00165_02,1400
P00006,1179
P00108,1017
P00058,1004
P00019_03,898
P00207,872
P00282,841
P00294,701
P00013,677
P00200_01,630
P00165_01,587
P00007_02,561
P00175_02,535
P00283,525
P00230,1124
P00168_02,490
P00157,471
P00232,582
P00252,449
P00112_04,531
P00180,403
P00278,400
P00133,391
P00100_03,378
P00209_01,364
P00023_01,359
P00233,349
P00100_02,347
P00232_08,328
P00232_05,323
P00232_03,401
P00247,483
P00232_11,311
P00017_04,317
P00232_06,297
P00112_03,407
P00223,292
P00232_04,296
P00200_02,280
P00281_01,279
P00232_10,275
P00232_12,260
P00018_03,291
P00232_09,255
P00232_07,250
P00166,241
P00225,234
P00253_01,209
P00276_01,198
P00159,196
P00018_02,192
P00253_03,177
P00099_02,163
P00144_01,161
P00245_04,275
P00038_01,157
P00056_04,196
P00112_02,207
P00250_02,134
P00056_03,251
P00037,131
P00268,124
P00021_01,132
P00271,127
P00185,122
P00200_03,122
P00136_02,119
P00242_02,113
P00245_06,190
P00017_02,206
P00118_01,108
P00012_01,106
P00109_01,103
P00242_01,100
P00093_05,99
P00245_07,125
P00017_01,112
P00093_01,94
P00084,93
P00197,92
P00099_01,91
P00195,90
P00196,90
P00277_02,90
P00017_03,89
P00277_01,88
P00093_02,86
P00245_09,110
P00027_01,82
P00112_01,125
P00285,84
P00002_01,79
P00002_02,80
P00255,79
P00286,77
P00302_02,77
P00192,75
P00237,77
P00254_01,74
P00254_02,75
P00002_04,70
P00002_07,69
P00100_01,65
P00105_02,63
P00072,62
P00168_01,62
P00130_01,60
P00162_01,60
P00232_01,63
P00244,66
P00149,58
P00290_01,58
P00093_03,57
P00253_02,57
P00230_03,59
P00208,55
P00048_01,53
P00245_03,61
P00276_10,52
P00138,49
P00002_06,48
P00175_01,48
P00002_05,46
P00014_03,46
P00029_02,46
P00162_02,46
P00245_02,49
P00152_04,44
P00245_08,51
P00151,43
P00245_01,54
P00027_02,41
P00239_02,42
P00095,40
P00101_01,40
P00014_04,39
P00020,71
P00245_05,66
P00276_12,39
P00148_06,38
P00155,41
P00128_01,34
P00147,33
P00172,34
P00238_01,35
P00276_03,33
P00276_11,33
P00318,33
P00257_02,32
P00284,32
P00011_02,31
P00257_01,31
P00226_01,30
P00226_02,30
P00270,30
P00128_02,29
P00141,29
P00227_01,29
P00069_01,28
P00057,26
P00177_02,26
P00229_01,26
P00131_02,25
P00176,25
P00177_01,23
P00319,22
P00011_01,21
P00258_02,23
P00226_03,20
P00276_09,20
P00052,19
P00259_01,19
P00025_02,17
P00258_01,17
P00259_02,16
P00062_01,16
P00320,15
P00080,14
P00276_04,14
P00276_06,14
P00276_07,14
P00017_05,20
P00153_01,23
P00276_02,13
P00276_05,13
P00276_08,13
P00154,12
P00245_11,12
P00246,26
P00027_03,10
P00198,10
P00256,10
P00260,11
P00015_01,13
P00015_04,9
P00226,9
P00015_02,8
P00018_01,8
P00118_02,8
P00015_03,6
P00016,6
P00199,6
P00025_01,5
P00097,5
P00262,9
P00264,5
P00266,6
P00086,4
P00092_01,4
P00098,4
P00261,4
P00003_01,3
P00088,3
P00092_02,3
P00094,3
P00136_01,3
P00306_01,3
P00306_02,3
P00306_03,3
P00083,2
P00193,3
P00206,2
P00263,2
P00265,3
P00064_01,1
P00273,1
P00276_13,1
P00293,1
P00333,1
